timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734083726880,21127,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to cse.buet.ac.bd:8080 [cse.buet.ac.bd/103.94.135.240] failed: Connection timed out: connect,Thread 1-1,text,false,"The operation lasted too long: It took 21,127 milliseconds, but should not have lasted longer than 300 milliseconds.",2758,0,11,11,https://cse.buet.ac.bd:8080/home,0,0,21126
1734083748028,204,Moodle/canonical.html-1,200,OK,Thread 1-1,text,true,,298,303,11,11,http://detectportal.firefox.com/canonical.html,204,0,108
1734083748234,62,Moodle/success.txt-3,200,OK,Thread 1-1,text,true,,216,320,11,11,http://detectportal.firefox.com/success.txt?ipv6,62,0,0
1734083748297,62,Moodle/success.txt-2,200,OK,Thread 1-1,text,true,,216,320,11,11,http://detectportal.firefox.com/success.txt?ipv4,62,0,0
1734083748361,869,Moodle/moodle/-4,200,OK,Thread 1-1,text,false,"The operation lasted too long: It took 869 milliseconds, but should not have lasted longer than 300 milliseconds.",12666,740,12,12,https://cse.buet.ac.bd/moodle/,14,0,5
1734083748361,14,Moodle/moodle/-4-0,301,Moved Permanently,Thread 1-1,text,true,,585,370,12,12,http://cse.buet.ac.bd/moodle/,14,0,5
1734083748377,853,Moodle/moodle/-4-1,200,OK,Thread 1-1,text,false,"The operation lasted too long: It took 853 milliseconds, but should not have lasted longer than 300 milliseconds.",12081,370,12,12,https://cse.buet.ac.bd/moodle/,849,0,699
1734083749233,62,Moodle/canonical.html-5,200,OK,Thread 1-1,text,true,,298,303,12,12,http://detectportal.firefox.com/canonical.html,62,0,0
1734083749296,61,Moodle/success.txt-7,200,OK,Thread 1-1,text,true,,216,320,12,12,http://detectportal.firefox.com/success.txt?ipv6,61,0,0
1734083749359,62,Moodle/success.txt-6,200,OK,Thread 1-1,text,true,,216,320,12,12,http://detectportal.firefox.com/success.txt?ipv4,62,0,0
1734083749422,64,Moodle/canonical.html-8,200,OK,Thread 1-1,text,true,,298,303,12,12,http://detectportal.firefox.com/canonical.html,64,0,0
1734083749487,60,Moodle/success.txt-10,200,OK,Thread 1-1,text,true,,216,320,12,12,http://detectportal.firefox.com/success.txt?ipv6,59,0,0
1734083749549,61,Moodle/success.txt-9,200,OK,Thread 1-1,text,true,,216,320,12,12,http://detectportal.firefox.com/success.txt?ipv4,61,0,0
